s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANOL,MLR_PRODUCTS,MLR_WATER VAPOR
 0.0000000E+000, 0.0000000E+000,-6.6895541E-002,-1.5109613E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.6895542E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0139447E-001, 9.5110513E+000,-2.8415705E+000,-1.8447858E-002,-3.1821296E-001, 2.1388819E-004, 0.0000000E+000, 0.0000000E+000, 5.9688576E+000, 6.3330338E+000, 0.0000000E+000, 5.2492551E-004, 0.0000000E+000, 0.0000000E+000
 1.2004632E+000, 1.1642618E+001,-2.0461859E+000,-6.3510193E-002,-3.6881928E-001, 2.8411878E-004, 0.0000000E+000, 0.0000000E+000, 9.1186802E+000, 9.1643864E+000, 0.0000000E+000, 5.2600093E-004, 0.0000000E+000, 0.0000000E+000
 1.8019179E+000, 1.1129383E+001,-1.9081872E+000,-5.7159417E-002,-4.3859649E-001, 2.7220558E-004, 0.0000000E+000, 0.0000000E+000, 8.5868795E+000, 8.7257116E+000, 0.0000000E+000, 5.2708590E-004, 0.0000000E+000, 0.0000000E+000
 2.4033158E+000, 1.1022127E+001,-1.9185480E+000,-5.6642390E-002,-5.5933089E-001, 2.8233008E-004, 0.0000000E+000, 0.0000000E+000, 8.4428193E+000, 8.4878879E+000, 0.0000000E+000, 5.2817288E-004, 0.0000000E+000, 0.0000000E+000
 3.0019832E+000, 1.1161800E+001,-1.9624822E+000,-5.7677537E-002,-6.7881080E-001, 2.8585290E-004, 0.0000000E+000, 0.0000000E+000, 8.4841344E+000, 8.4631148E+000, 0.0000000E+000, 5.2925902E-004, 0.0000000E+000, 0.0000000E+000
 3.6033795E+000, 1.1107772E+001,-1.9577572E+000,-5.5831587E-002,-7.0543314E-001, 2.8647222E-004, 0.0000000E+000, 0.0000000E+000, 8.3142276E+000, 8.3890368E+000, 0.0000000E+000, 5.3034325E-004, 0.0000000E+000, 0.0000000E+000
 4.2004538E+000, 1.1158924E+001,-1.9849113E+000,-5.7285573E-002,-8.4321484E-001, 2.9199740E-004, 0.0000000E+000, 0.0000000E+000, 8.2951317E+000, 8.2738047E+000, 0.0000000E+000, 5.3142620E-004, 0.0000000E+000, 0.0000000E+000
 4.8009367E+000, 1.1154530E+001,-2.0066538E+000,-5.4830937E-002,-9.6826237E-001, 2.8841396E-004, 0.0000000E+000, 0.0000000E+000, 8.1024265E+000, 8.1250716E+000, 0.0000000E+000, 5.3250946E-004, 0.0000000E+000, 0.0000000E+000
