s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANOL,MLR_PRODUCTS,MLR_WATER VAPOR
 0.0000000E+000, 0.0000000E+000,-6.6912519E-002,-1.5414010E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.6912520E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.1702881E-001, 3.6244335E+000,-8.4468664E-001, 1.7197826E-004,-8.7613312E-002, 9.2724163E-005, 0.0000000E+000, 0.0000000E+000, 2.3281196E+000, 2.6923983E+000, 0.0000000E+000, 2.3049134E-004, 0.0000000E+000, 0.0000000E+000
 8.0603826E-001, 1.3454226E+001,-3.6687105E+000,-1.7079531E-002,-6.3278048E-001, 3.2818544E-004, 0.0000000E+000, 0.0000000E+000, 8.7570177E+000, 9.1359842E+000, 0.0000000E+000, 6.4511202E-004, 0.0000000E+000, 0.0000000E+000
 1.2007607E+000, 2.0100340E+001,-3.7932429E+000,-9.0566607E-002,-7.1722014E-001, 5.2842146E-004, 0.0000000E+000, 0.0000000E+000, 1.5533571E+001, 1.5499839E+001, 0.0000000E+000, 9.9150715E-004, 0.0000000E+000, 0.0000000E+000
 1.6018552E+000, 2.1499509E+001,-3.8243435E+000,-1.0736206E-001,-9.6609909E-001, 5.1458337E-004, 0.0000000E+000, 0.0000000E+000, 1.6521367E+001, 1.6602219E+001, 0.0000000E+000, 1.0409767E-003, 0.0000000E+000, 0.0000000E+000
 2.0004907E+000, 2.2281264E+001,-3.9249968E+000,-1.1625618E-001,-1.0200558E+000, 5.0896374E-004, 0.0000000E+000, 0.0000000E+000, 1.7151475E+001, 1.7220464E+001, 0.0000000E+000, 1.0436822E-003, 0.0000000E+000, 0.0000000E+000
 2.4000931E+000, 2.2140942E+001,-3.8791853E+000,-1.1490889E-001,-1.0844361E+000, 5.4862590E-004, 0.0000000E+000, 0.0000000E+000, 1.7057522E+001, 1.7062960E+001, 0.0000000E+000, 1.0463855E-003, 0.0000000E+000, 0.0000000E+000
 2.8002877E+000, 2.1906190E+001,-3.8869229E+000,-1.1227545E-001,-1.4988508E+000, 5.5622234E-004, 0.0000000E+000, 0.0000000E+000, 1.6382513E+001, 1.6408697E+001, 0.0000000E+000, 1.0490905E-003, 0.0000000E+000, 0.0000000E+000
 3.2019587E+000, 2.2040713E+001,-3.9400420E+000,-1.1186200E-001,-1.4843652E+000, 5.5217789E-004, 0.0000000E+000, 0.0000000E+000, 1.6573214E+001, 1.6504996E+001, 0.0000000E+000, 1.0518055E-003, 0.0000000E+000, 0.0000000E+000
 3.6004744E+000, 2.2147774E+001,-3.9883553E+000,-1.1046918E-001,-1.5815910E+000, 5.5034149E-004, 0.0000000E+000, 0.0000000E+000, 1.6429207E+001, 1.6467908E+001, 0.0000000E+000, 1.0545165E-003, 0.0000000E+000, 0.0000000E+000
