s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"First_Ceiling_Gas_Temperature","Fourth_Ceiling_Gas_Temperature","Second_Ceiling_Gas_Temperature","Third_Ceiling_Gas_Temperature","First_Ceiling_Gas_Temperature1","Fourth_Ceiling_Gas_Temperature1","Second_Ceiling_Gas_Temperature1","Third_Ceiling_Gas_Temperature1","0.5_TREE1_TEMPERATURE_THERMOCOUPLE","0.5_TREE1_THERMOCOUPLE","0.7_TREE1_TEMPERATURE_THERMOCOUPLE","0.7_TREE1_THERMOCOUPLE","0.9_TREE1_TEMPERATURE_THERMOCOUPLE","0.9_TREE1_THERMOCOUPLE","1.2_TREE1_TEMPERATURE_THERMOCOUPLE","1.2_TREE1_THERMOCOUPLE","1.5_TREE1_TEMPERATURE_THERMOCOUPLE","1.5_TREE1_THERMOCOUPLE","0.5_TREE2_TEMPERATURE_THERMOCOUPLE","0.5_TREE2_THERMOCOUPLE","0.7_TREE2_TEMPERATURE_THERMOCOUPLE","0.7_TREE2_THERMOCOUPLE","0.9_TREE2_TEMPERATURE_THERMOCOUPLE","0.9_TREE2_THERMOCOUPLE","1.2_TREE2_TEMPERATURE_THERMOCOUPLE","1.2_TREE2_THERMOCOUPLE","1.5_TREE2_TEMPERATURE_THERMOCOUPLE","1.5_TREE2_THERMOCOUPLE"
 0.0000000E+000, 2.6999710E+001, 2.6999830E+001, 2.6999759E+001, 2.6999797E+001, 2.6999855E+001, 2.6999915E+001, 2.6999879E+001, 2.6999899E+001, 2.7000000E+001, 2.6999690E+001, 2.7000000E+001, 2.6999651E+001, 2.7000000E+001, 2.6999601E+001, 2.7000000E+001, 2.6999645E+001, 2.7000000E+001, 2.6999709E+001, 2.7000000E+001, 2.6999776E+001, 2.7000000E+001, 2.6999738E+001, 2.7000000E+001, 2.6999684E+001, 2.7000000E+001, 2.6999715E+001, 2.7000000E+001, 2.6999780E+001
 4.1702883E-001, 2.6999509E+001, 2.6999666E+001, 2.6999576E+001, 2.6999625E+001, 2.6999751E+001, 2.6999831E+001, 2.6999785E+001, 2.6999810E+001, 2.6999949E+001, 2.6999621E+001, 2.6999907E+001, 2.6999340E+001, 2.6999898E+001, 2.6999254E+001, 2.6999923E+001, 2.6999399E+001, 2.6999928E+001, 2.6999475E+001, 2.6999938E+001, 2.6999617E+001, 2.6999938E+001, 2.6999544E+001, 2.6999934E+001, 2.6999466E+001, 2.6999947E+001, 2.6999531E+001, 2.6999943E+001, 2.6999592E+001
 8.0443164E-001, 2.6999284E+001, 2.6999478E+001, 2.6999364E+001, 2.6999428E+001, 2.6999631E+001, 2.6999732E+001, 2.6999673E+001, 2.6999706E+001, 2.7000974E+001, 2.7003079E+001, 2.7000982E+001, 2.7003309E+001, 2.7000885E+001, 2.7002975E+001, 2.6999797E+001, 2.6999132E+001, 2.6999809E+001, 2.6999219E+001, 2.7000062E+001, 2.7000107E+001, 2.6999992E+001, 2.6999788E+001, 2.6999923E+001, 2.6999557E+001, 2.6999857E+001, 2.6999315E+001, 2.6999846E+001, 2.6999377E+001
 1.2035555E+000, 2.6999594E+001, 2.6999531E+001, 2.6999614E+001, 2.6999495E+001, 2.6999778E+001, 2.6999752E+001, 2.6999791E+001, 2.6999733E+001, 2.7006353E+001, 2.7018729E+001, 2.7005140E+001, 2.7014927E+001, 2.7004934E+001, 2.7014322E+001, 2.7000079E+001, 2.7000109E+001, 2.6999928E+001, 2.6999681E+001, 2.7001124E+001, 2.7003241E+001, 2.7000874E+001, 2.7002416E+001, 2.7000318E+001, 2.7000722E+001, 2.6999945E+001, 2.6999611E+001, 2.6999902E+001, 2.6999595E+001
 1.6033464E+000, 2.7004347E+001, 2.7001032E+001, 2.7005602E+001, 2.7001582E+001, 2.7002169E+001, 2.7000504E+001, 2.7002806E+001, 2.7000779E+001, 2.7023450E+001, 2.7065112E+001, 2.7016193E+001, 2.7044505E+001, 2.7014237E+001, 2.7038995E+001, 2.7004495E+001, 2.7012356E+001, 2.7002876E+001, 2.7007880E+001, 2.7004183E+001, 2.7011329E+001, 2.7004379E+001, 2.7011880E+001, 2.7002074E+001, 2.7005494E+001, 2.7000987E+001, 2.7002463E+001, 2.7000888E+001, 2.7002333E+001
 2.0013149E+000, 2.7013830E+001, 2.7003959E+001, 2.7015538E+001, 2.7005501E+001, 2.7007025E+001, 2.7001993E+001, 2.7007901E+001, 2.7002779E+001, 2.7044382E+001, 2.7122063E+001, 2.7030493E+001, 2.7082555E+001, 2.7025944E+001, 2.7069247E+001, 2.7012098E+001, 2.7032219E+001, 2.7007993E+001, 2.7021055E+001, 2.7007583E+001, 2.7019852E+001, 2.7008100E+001, 2.7021534E+001, 2.7004390E+001, 2.7011535E+001, 2.7002676E+001, 2.7006814E+001, 2.7002508E+001, 2.7006561E+001
 2.4038334E+000, 2.7026902E+001, 2.7007201E+001, 2.7026212E+001, 2.7009965E+001, 2.7013877E+001, 2.7003673E+001, 2.7013522E+001, 2.7005106E+001, 2.7065584E+001, 2.7180639E+001, 2.7045062E+001, 2.7123065E+001, 2.7038194E+001, 2.7102164E+001, 2.7020592E+001, 2.7054264E+001, 2.7014044E+001, 2.7035607E+001, 2.7011314E+001, 2.7028668E+001, 2.7011830E+001, 2.7031038E+001, 2.7006740E+001, 2.7017559E+001, 2.7004733E+001, 2.7011879E+001, 2.7004309E+001, 2.7011072E+001
 2.8010799E+000, 2.7045488E+001, 2.7010770E+001, 2.7037836E+001, 2.7014888E+001, 2.7023684E+001, 2.7005554E+001, 2.7019791E+001, 2.7007723E+001, 2.7086410E+001, 2.7237154E+001, 2.7060002E+001, 2.7164902E+001, 2.7050528E+001, 2.7136626E+001, 2.7029338E+001, 2.7077565E+001, 2.7020663E+001, 2.7051252E+001, 2.7015079E+001, 2.7037139E+001, 2.7015519E+001, 2.7040228E+001, 2.7009292E+001, 2.7024019E+001, 2.7006929E+001, 2.7017114E+001, 2.7006232E+001, 2.7015754E+001
 3.2040887E+000, 2.8013625E+001, 2.7014723E+001, 2.7050577E+001, 2.7020358E+001, 2.7340681E+001, 2.7007668E+001, 2.7026795E+001, 2.7010677E+001, 2.7108293E+001, 2.7294907E+001, 2.7075593E+001, 2.7207605E+001, 2.7063318E+001, 2.7172278E+001, 2.7038306E+001, 2.7102072E+001, 2.7027394E+001, 2.7067937E+001, 2.7019143E+001, 2.7046029E+001, 2.7019421E+001, 2.7049758E+001, 2.7011979E+001, 2.7030721E+001, 2.7009304E+001, 2.7022686E+001, 2.7008285E+001, 2.7020670E+001
