s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANOL,MLR_PRODUCTS,MLR_WATER VAPOR
 0.0000000E+000, 0.0000000E+000,-5.4727103E-002,-1.4000050E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4727105E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.1702881E-001, 4.9263314E+000,-8.6620561E-001,-4.7435994E-003,-4.6158651E-002, 1.3983194E-004, 0.0000000E+000, 0.0000000E+000, 2.8863574E+000, 4.0093634E+000, 0.0000000E+000, 3.5757278E-004, 0.0000000E+000, 0.0000000E+000
 8.0443162E-001, 1.7589521E+001,-6.0725885E+000,-4.4054662E-002,-4.3241658E-001, 4.5572836E-004, 0.0000000E+000, 0.0000000E+000, 1.0422549E+001, 1.1040917E+001, 0.0000000E+000, 8.7278555E-004, 0.0000000E+000, 0.0000000E+000
 1.2035555E+000, 2.4790899E+001,-4.5804483E+000,-1.1130028E-001,-3.6405268E-001, 6.9845869E-004, 0.0000000E+000, 0.0000000E+000, 1.9432410E+001, 1.9735797E+001, 0.0000000E+000, 1.1995698E-003, 0.0000000E+000, 0.0000000E+000
 1.6033465E+000, 2.8065098E+001,-5.0222817E+000,-1.4854845E-001,-4.6629653E-001, 7.3644059E-004, 0.0000000E+000, 0.0000000E+000, 2.2370264E+001, 2.2428708E+001, 0.0000000E+000, 1.3915667E-003, 0.0000000E+000, 0.0000000E+000
 2.0013149E+000, 3.1057373E+001,-5.3477829E+000,-1.6336390E-001,-6.2284996E-001, 7.5642283E-004, 0.0000000E+000, 0.0000000E+000, 2.4611452E+001, 2.4924133E+001, 0.0000000E+000, 1.4882769E-003, 0.0000000E+000, 0.0000000E+000
 2.4038334E+000, 3.2217200E+001,-5.4765481E+000,-1.7117447E-001,-7.4391416E-001, 8.3606906E-004, 0.0000000E+000, 0.0000000E+000, 2.5574515E+001, 2.5826400E+001, 0.0000000E+000, 1.5343489E-003, 0.0000000E+000, 0.0000000E+000
 2.8010800E+000, 3.2555490E+001,-5.5946580E+000,-1.6942986E-001,-1.3958960E+000, 8.4588961E-004, 0.0000000E+000, 0.0000000E+000, 2.4975938E+001, 2.5396352E+001, 0.0000000E+000, 1.5555651E-003, 0.0000000E+000, 0.0000000E+000
 3.2040887E+000, 3.2713589E+001,-5.6705867E+000,-1.6851093E-001,-1.6314404E+000, 8.6408262E-004, 0.0000000E+000, 0.0000000E+000, 2.4764703E+001, 2.5243915E+001, 0.0000000E+000, 1.5651956E-003, 0.0000000E+000, 0.0000000E+000
 3.6035748E+000, 3.3001017E+001,-5.7005945E+000,-1.7161704E-001,-1.8294334E+000, 8.7358806E-004, 0.0000000E+000, 0.0000000E+000, 2.4848634E+001, 2.5300246E+001, 0.0000000E+000, 1.5695563E-003, 0.0000000E+000, 0.0000000E+000
 4.0022473E+000, 3.2950675E+001,-5.7485634E+000,-1.6824327E-001,-2.0496056E+000, 8.7762499E-004, 0.0000000E+000, 0.0000000E+000, 2.4524487E+001, 2.4985141E+001, 0.0000000E+000, 1.5715067E-003, 0.0000000E+000, 0.0000000E+000
