s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANOL,MLR_PRODUCTS,MLR_WATER VAPOR
 0.0000000E+000, 0.0000000E+000,-5.4727103E-002,-1.4000050E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4727105E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.1702881E-001, 3.1420441E+000,-4.1241629E-001,-2.1601165E-003,-2.2535943E-002, 9.3509583E-005, 0.0000000E+000, 0.0000000E+000, 1.7621197E+000, 2.7050252E+000, 0.0000000E+000, 2.4502683E-004, 0.0000000E+000, 0.0000000E+000
 8.2498533E-001, 1.3446746E+001,-4.5095828E+000,-3.5113428E-002,-3.3173000E-001, 3.5579519E-004, 0.0000000E+000, 0.0000000E+000, 8.0718936E+000, 8.5706753E+000, 0.0000000E+000, 6.7030839E-004, 0.0000000E+000, 0.0000000E+000
 1.2024719E+000, 2.0986816E+001,-4.1614691E+000,-7.9009127E-002,-3.2645526E-001, 5.8141972E-004, 0.0000000E+000, 0.0000000E+000, 1.6006955E+001, 1.6420464E+001, 0.0000000E+000, 1.0022712E-003, 0.0000000E+000, 0.0000000E+000
 1.6068385E+000, 2.1672721E+001,-3.7362926E+000,-1.2284913E-001,-3.6261968E-001, 6.0548508E-004, 0.0000000E+000, 0.0000000E+000, 1.7309677E+001, 1.7451565E+001, 0.0000000E+000, 1.0410282E-003, 0.0000000E+000, 0.0000000E+000
 2.0049462E+000, 2.1870058E+001,-3.7135850E+000,-1.1371419E-001,-4.3657372E-001, 5.5775917E-004, 0.0000000E+000, 0.0000000E+000, 1.7396313E+001, 1.7606743E+001, 0.0000000E+000, 1.0437296E-003, 0.0000000E+000, 0.0000000E+000
 2.4060013E+000, 2.2039756E+001,-3.7303431E+000,-1.1379318E-001,-4.6637667E-001, 5.9349550E-004, 0.0000000E+000, 0.0000000E+000, 1.7406676E+001, 1.7729837E+001, 0.0000000E+000, 1.0464318E-003, 0.0000000E+000, 0.0000000E+000
 2.8007641E+000, 2.1997014E+001,-3.7174923E+000,-1.1519567E-001,-7.8523731E-001, 6.0721249E-004, 0.0000000E+000, 0.0000000E+000, 1.7061988E+001, 1.7379696E+001, 0.0000000E+000, 1.0491238E-003, 0.0000000E+000, 0.0000000E+000
 3.2043581E+000, 2.2065636E+001,-3.7647515E+000,-1.1496461E-001,-9.7019458E-001, 6.0743278E-004, 0.0000000E+000, 0.0000000E+000, 1.6978815E+001, 1.7216333E+001, 0.0000000E+000, 1.0518253E-003, 0.0000000E+000, 0.0000000E+000
 3.6035936E+000, 2.2089405E+001,-3.8047889E+000,-1.1490123E-001,-1.1401712E+000, 6.1801719E-004, 0.0000000E+000, 0.0000000E+000, 1.6864468E+001, 1.7030162E+001, 0.0000000E+000, 1.0545412E-003, 0.0000000E+000, 0.0000000E+000
 4.0008841E+000, 2.2160613E+001,-3.8286853E+000,-1.1418632E-001,-1.2541280E+000, 6.1305304E-004, 0.0000000E+000, 0.0000000E+000, 1.6736476E+001, 1.6964226E+001, 0.0000000E+000, 1.0572411E-003, 0.0000000E+000, 0.0000000E+000
