s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANOL,MLR_PRODUCTS,MLR_WATER VAPOR
 0.0000000E+000, 0.0000000E+000,-5.4812193E-002,-1.4000050E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4812194E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.2554324E-001, 3.1959076E+000,-8.2318702E-001,-4.1048018E-003,-5.0570529E-002, 8.6962904E-005, 0.0000000E+000, 0.0000000E+000, 1.8839234E+000, 2.3181322E+000, 0.0000000E+000, 1.9277457E-004, 0.0000000E+000, 0.0000000E+000
 1.2061008E+000, 1.0172297E+001,-2.2659308E+000,-3.4161918E-002,-1.5176939E-001, 2.9602643E-004, 0.0000000E+000, 0.0000000E+000, 7.4597223E+000, 7.7207311E+000, 0.0000000E+000, 5.0683148E-004, 0.0000000E+000, 0.0000000E+000
 1.8049607E+000, 1.1950325E+001,-2.0456043E+000,-6.1903726E-002,-1.8834805E-001, 3.3183620E-004, 0.0000000E+000, 0.0000000E+000, 9.4962118E+000, 9.6548003E+000, 0.0000000E+000, 5.7199273E-004, 0.0000000E+000, 0.0000000E+000
 2.4007952E+000, 1.2088262E+001,-1.9886513E+000,-6.4818242E-002,-1.9003391E-001, 3.4191977E-004, 0.0000000E+000, 0.0000000E+000, 9.6499574E+000, 9.8451007E+000, 0.0000000E+000, 5.7260127E-004, 0.0000000E+000, 0.0000000E+000
 3.0039628E+000, 1.2024405E+001,-2.0035030E+000,-6.3603367E-002,-3.9388343E-001, 3.4717142E-004, 0.0000000E+000, 0.0000000E+000, 9.4583818E+000, 9.5637625E+000, 0.0000000E+000, 5.7321710E-004, 0.0000000E+000, 0.0000000E+000
 3.6031079E+000, 1.2013651E+001,-2.0252258E+000,-6.2273521E-002,-5.2414824E-001, 3.4653727E-004, 0.0000000E+000, 0.0000000E+000, 9.2537180E+000, 9.4023500E+000, 0.0000000E+000, 5.7383511E-004, 0.0000000E+000, 0.0000000E+000
 4.2066083E+000, 1.2059709E+001,-2.0470154E+000,-6.3266507E-002,-6.4617779E-001, 3.4768018E-004, 0.0000000E+000, 0.0000000E+000, 9.0526709E+000, 9.3035972E+000, 0.0000000E+000, 5.7445063E-004, 0.0000000E+000, 0.0000000E+000
 4.8046322E+000, 1.2055236E+001,-2.0608915E+000,-5.9891892E-002,-7.2552738E-001, 3.4569138E-004, 0.0000000E+000, 0.0000000E+000, 8.9333620E+000, 9.2092710E+000, 0.0000000E+000, 5.7506727E-004, 0.0000000E+000, 0.0000000E+000
 5.4054751E+000, 1.2076541E+001,-2.0734113E+000,-6.0647658E-002,-8.4574456E-001, 3.4435288E-004, 0.0000000E+000, 0.0000000E+000, 8.8452973E+000, 9.0970813E+000, 0.0000000E+000, 5.7568212E-004, 0.0000000E+000, 0.0000000E+000
 6.0067415E+000, 1.2101079E+001,-2.1058762E+000,-5.9883904E-002,-9.5410513E-001, 3.4248821E-004, 0.0000000E+000, 0.0000000E+000, 8.7522365E+000, 8.9815559E+000, 0.0000000E+000, 5.7630063E-004, 0.0000000E+000, 0.0000000E+000
 6.6002216E+000, 1.2087236E+001,-2.1128471E+000,-5.8217460E-002,-1.0206105E+000, 3.3885201E-004, 0.0000000E+000, 0.0000000E+000, 8.6317878E+000, 8.8958995E+000, 0.0000000E+000, 5.7691357E-004, 0.0000000E+000, 0.0000000E+000
