s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANOL,MLR_PRODUCTS,MLR_WATER VAPOR
 0.0000000E+000, 0.0000000E+000,-5.4812193E-002,-1.4000050E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4812194E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0134876E-001, 5.3648231E+000,-1.4370422E+000,-8.7966564E-003,-1.0008148E-001, 1.4259306E-004, 0.0000000E+000, 0.0000000E+000, 3.1148976E+000, 3.8190453E+000, 0.0000000E+000, 3.2171317E-004, 0.0000000E+000, 0.0000000E+000
 1.2050877E+000, 1.5154378E+001,-2.4171854E+000,-6.8382974E-002,-2.2135696E-001, 4.1836054E-004, 0.0000000E+000, 0.0000000E+000, 1.2152813E+001, 1.2447871E+001, 0.0000000E+000, 7.4685226E-004, 0.0000000E+000, 0.0000000E+000
 1.8042073E+000, 1.9502184E+001,-2.5864534E+000,-1.0102105E-001,-3.4978837E-001, 5.0850289E-004, 0.0000000E+000, 0.0000000E+000, 1.6134814E+001, 1.6465430E+001, 0.0000000E+000, 9.4578025E-004, 0.0000000E+000, 0.0000000E+000
 2.4038756E+000, 2.1373730E+001,-2.7863653E+000,-1.1852318E-001,-5.4094481E-001, 5.7179894E-004, 0.0000000E+000, 0.0000000E+000, 1.7635448E+001, 1.7928469E+001, 0.0000000E+000, 1.0163829E-003, 0.0000000E+000, 0.0000000E+000
 3.0018244E+000, 2.1693124E+001,-2.8698034E+000,-1.1775790E-001,-9.2890423E-001, 5.8407906E-004, 0.0000000E+000, 0.0000000E+000, 1.7595935E+001, 1.7777242E+001, 0.0000000E+000, 1.0388559E-003, 0.0000000E+000, 0.0000000E+000
 3.6025257E+000, 2.1919920E+001,-2.9361314E+000,-1.1757706E-001,-1.1698063E+000, 5.8043714E-004, 0.0000000E+000, 0.0000000E+000, 1.7325565E+001, 1.7696986E+001, 0.0000000E+000, 1.0457437E-003, 0.0000000E+000, 0.0000000E+000
 4.2035031E+000, 2.2070747E+001,-2.9726536E+000,-1.1824971E-001,-1.4050569E+000, 5.7517625E-004, 0.0000000E+000, 0.0000000E+000, 1.7192240E+001, 1.7575362E+001, 0.0000000E+000, 1.0478357E-003, 0.0000000E+000, 0.0000000E+000
 4.8021617E+000, 2.1923921E+001,-2.9874941E+000,-1.1447204E-001,-1.6315132E+000, 5.7544574E-004, 0.0000000E+000, 0.0000000E+000, 1.6824243E+001, 1.7191018E+001, 0.0000000E+000, 1.0484653E-003, 0.0000000E+000, 0.0000000E+000
 5.4009824E+000, 2.1959791E+001,-3.0095797E+000,-1.1323202E-001,-1.7981298E+000, 5.7231477E-004, 0.0000000E+000, 0.0000000E+000, 1.6554283E+001, 1.7039422E+001, 0.0000000E+000, 1.0486548E-003, 0.0000000E+000, 0.0000000E+000
 6.0055351E+000, 2.1923343E+001,-3.0218999E+000,-1.1274530E-001,-2.0186329E+000, 5.7662617E-004, 0.0000000E+000, 0.0000000E+000, 1.6314151E+001, 1.6770642E+001, 0.0000000E+000, 1.0487120E-003, 0.0000000E+000, 0.0000000E+000
 6.6012092E+000, 2.1989777E+001,-3.0623730E+000,-1.1356832E-001,-2.1316343E+000, 5.7073335E-004, 0.0000000E+000, 0.0000000E+000, 1.6641641E+001, 1.6682772E+001, 0.0000000E+000, 1.0487292E-003, 0.0000000E+000, 0.0000000E+000
