s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANOL,MLR_PRODUCTS,MLR_WATER VAPOR
 0.0000000E+000, 0.0000000E+000,-5.4812193E-002,-1.4000050E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4812194E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.2600762E-001, 6.9009547E+000,-2.0047653E+000,-1.2551116E-002,-1.2916005E-001, 1.7814675E-004, 0.0000000E+000, 0.0000000E+000, 3.9430469E+000, 4.7546563E+000, 0.0000000E+000, 4.0187406E-004, 0.0000000E+000, 0.0000000E+000
 1.2083760E+000, 1.8773012E+001,-2.8412935E+000,-8.9465677E-002,-2.5215409E-001, 4.9635594E-004, 0.0000000E+000, 0.0000000E+000, 1.5266694E+001, 1.5590595E+001, 0.0000000E+000, 9.1267786E-004, 0.0000000E+000, 0.0000000E+000
 1.8023380E+000, 2.3525647E+001,-3.1082706E+000,-1.2073813E-001,-4.0652217E-001, 5.9801295E-004, 0.0000000E+000, 0.0000000E+000, 1.9474103E+001, 1.9890714E+001, 0.0000000E+000, 1.1454204E-003, 0.0000000E+000, 0.0000000E+000
 2.4024670E+000, 2.6027682E+001,-3.4161277E+000,-1.4437223E-001,-7.5310982E-001, 6.7450677E-004, 0.0000000E+000, 0.0000000E+000, 2.1448348E+001, 2.1714747E+001, 0.0000000E+000, 1.2306003E-003, 0.0000000E+000, 0.0000000E+000
 3.0013275E+000, 2.6123554E+001,-3.4739124E+000,-1.4417671E-001,-1.1631502E+000, 6.8257541E-004, 0.0000000E+000, 0.0000000E+000, 2.1092158E+001, 2.1342997E+001, 0.0000000E+000, 1.2579309E-003, 0.0000000E+000, 0.0000000E+000
 3.6002998E+000, 2.6615058E+001,-3.5750189E+000,-1.4409869E-001,-1.4517116E+000, 6.7457538E-004, 0.0000000E+000, 0.0000000E+000, 2.1065003E+001, 2.1444904E+001, 0.0000000E+000, 1.2662908E-003, 0.0000000E+000, 0.0000000E+000
 4.2010012E+000, 2.6275929E+001,-3.5490244E+000,-1.3964641E-001,-1.7054543E+000, 6.5825607E-004, 0.0000000E+000, 0.0000000E+000, 2.0374038E+001, 2.0882462E+001, 0.0000000E+000, 1.2688289E-003, 0.0000000E+000, 0.0000000E+000
 4.8013792E+000, 2.6856844E+001,-3.6611645E+000,-1.4107603E-001,-1.8592423E+000, 6.6453219E-004, 0.0000000E+000, 0.0000000E+000, 2.0768464E+001, 2.1196026E+001, 0.0000000E+000, 1.2695951E-003, 0.0000000E+000, 0.0000000E+000
 5.4018798E+000, 2.6533108E+001,-3.6809801E+000,-1.3791209E-001,-2.2944302E+000, 6.6329301E-004, 0.0000000E+000, 0.0000000E+000, 2.0048155E+001, 2.0420449E+001, 0.0000000E+000, 1.2698254E-003, 0.0000000E+000, 0.0000000E+000
 6.0028443E+000, 2.6835323E+001,-3.7602157E+000,-1.3758180E-001,-2.4812542E+000, 6.5946926E-004, 0.0000000E+000, 0.0000000E+000, 2.0039628E+001, 2.0456931E+001, 0.0000000E+000, 1.2698949E-003, 0.0000000E+000, 0.0000000E+000
 6.6006680E+000, 2.6569751E+001,-3.7387545E+000,-1.3388883E-001,-2.7194491E+000, 6.5826447E-004, 0.0000000E+000, 0.0000000E+000, 1.9515001E+001, 1.9978317E+001, 0.0000000E+000, 1.2699157E-003, 0.0000000E+000, 0.0000000E+000
