s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANOL,MLR_PRODUCTS,MLR_WATER VAPOR
 0.0000000E+000, 0.0000000E+000,-5.4812193E-002,-1.4000050E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4812194E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0676467E-001, 5.3261318E+000,-1.5699621E+000,-9.0936451E-003,-9.0704538E-002, 1.4280704E-004, 0.0000000E+000, 0.0000000E+000, 2.9892593E+000, 3.6565143E+000, 0.0000000E+000, 3.2418024E-004, 0.0000000E+000, 0.0000000E+000
 1.2064198E+000, 1.5152029E+001,-3.1441871E+000,-6.3265197E-002,-2.0513402E-001, 4.1974266E-004, 0.0000000E+000, 0.0000000E+000, 1.1463990E+001, 1.1739862E+001, 0.0000000E+000, 7.4906911E-004, 0.0000000E+000, 0.0000000E+000
 1.8009638E+000, 1.9443149E+001,-3.3806859E+000,-9.8885557E-002,-2.9248519E-001, 5.1002030E-004, 0.0000000E+000, 0.0000000E+000, 1.5384794E+001, 1.5671603E+001, 0.0000000E+000, 9.4573120E-004, 0.0000000E+000, 0.0000000E+000
 2.4017456E+000, 2.1318402E+001,-3.5780958E+000,-1.1250827E-001,-4.7336966E-001, 5.7359484E-004, 0.0000000E+000, 0.0000000E+000, 1.6946129E+001, 1.7155002E+001, 0.0000000E+000, 1.0162081E-003, 0.0000000E+000, 0.0000000E+000
 3.0014915E+000, 2.1738465E+001,-3.6752499E+000,-1.1390754E-001,-8.2221324E-001, 5.8597268E-004, 0.0000000E+000, 0.0000000E+000, 1.6947160E+001, 1.7127680E+001, 0.0000000E+000, 1.0388272E-003, 0.0000000E+000, 0.0000000E+000
 3.6045797E+000, 2.1915087E+001,-3.7376109E+000,-1.1584157E-001,-1.0536549E+000, 5.8071281E-004, 0.0000000E+000, 0.0000000E+000, 1.6803813E+001, 1.7008560E+001, 0.0000000E+000, 1.0457474E-003, 0.0000000E+000, 0.0000000E+000
 4.2003908E+000, 2.1997546E+001,-3.7756161E+000,-1.1241971E-001,-1.2544128E+000, 5.7509712E-004, 0.0000000E+000, 0.0000000E+000, 1.6400654E+001, 1.6855673E+001, 0.0000000E+000, 1.0478360E-003, 0.0000000E+000, 0.0000000E+000
 4.8012061E+000, 2.1978105E+001,-3.8351713E+000,-1.1056498E-001,-1.4729258E+000, 5.7101529E-004, 0.0000000E+000, 0.0000000E+000, 1.6168049E+001, 1.6560014E+001, 0.0000000E+000, 1.0484642E-003, 0.0000000E+000, 0.0000000E+000
 5.4065371E+000, 2.1992622E+001,-3.8294360E+000,-1.0829906E-001,-1.7057559E+000, 5.6859466E-004, 0.0000000E+000, 0.0000000E+000, 1.5828140E+001, 1.6349700E+001, 0.0000000E+000, 1.0486550E-003, 0.0000000E+000, 0.0000000E+000
 6.0044932E+000, 2.2005435E+001,-3.8800771E+000,-1.0912471E-001,-1.8685010E+000, 5.7041094E-004, 0.0000000E+000, 0.0000000E+000, 1.5817025E+001, 1.6148302E+001, 0.0000000E+000, 1.0487122E-003, 0.0000000E+000, 0.0000000E+000
 6.6027861E+000, 2.1985806E+001,-3.8960774E+000,-1.0606189E-001,-2.0898273E+000, 5.7212203E-004, 0.0000000E+000, 0.0000000E+000, 1.5444716E+001, 1.5894412E+001, 0.0000000E+000, 1.0487292E-003, 0.0000000E+000, 0.0000000E+000
