s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANOL,MLR_PRODUCTS,MLR_WATER VAPOR
 0.0000000E+000, 0.0000000E+000,-5.4812193E-002,-1.4000050E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4812194E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.1209846E-001, 4.8166131E+000,-1.2367774E+000,-9.2871918E-003,-9.2099254E-002, 1.2658340E-004, 0.0000000E+000, 0.0000000E+000, 2.8507943E+000, 3.4785759E+000, 0.0000000E+000, 2.8211148E-004, 0.0000000E+000, 0.0000000E+000
 1.2092760E+000, 1.3193965E+001,-2.1013377E+000,-5.9155449E-002,-1.9727314E-001, 3.7113536E-004, 0.0000000E+000, 0.0000000E+000, 1.0579663E+001, 1.0836570E+001, 0.0000000E+000, 6.4873715E-004, 0.0000000E+000, 0.0000000E+000
 1.8054987E+000, 1.6831966E+001,-2.2434443E+000,-9.0186830E-002,-3.0168387E-001, 4.5018394E-004, 0.0000000E+000, 0.0000000E+000, 1.3948389E+001, 1.4197101E+001, 0.0000000E+000, 8.1737166E-004, 0.0000000E+000, 0.0000000E+000
 2.4037716E+000, 1.8416513E+001,-2.3945340E+000,-1.0082267E-001,-4.1747003E-001, 5.0392249E-004, 0.0000000E+000, 0.0000000E+000, 1.5300501E+001, 1.5504190E+001, 0.0000000E+000, 8.7782823E-004, 0.0000000E+000, 0.0000000E+000
 3.0005038E+000, 1.8758190E+001,-2.4615268E+000,-1.0185676E-001,-7.6072176E-001, 5.1505954E-004, 0.0000000E+000, 0.0000000E+000, 1.5197851E+001, 1.5434600E+001, 0.0000000E+000, 8.9718013E-004, 0.0000000E+000, 0.0000000E+000
 3.6009960E+000, 1.8948586E+001,-2.5119878E+000,-1.0155560E-001,-9.4746602E-001, 5.1051956E-004, 0.0000000E+000, 0.0000000E+000, 1.4769768E+001, 1.5388087E+001, 0.0000000E+000, 9.0313051E-004, 0.0000000E+000, 0.0000000E+000
 4.2054396E+000, 1.8968481E+001,-2.5210683E+000,-1.0128882E-001,-1.0922916E+000, 5.0516202E-004, 0.0000000E+000, 0.0000000E+000, 1.4745446E+001, 1.5254337E+001, 0.0000000E+000, 9.0494428E-004, 0.0000000E+000, 0.0000000E+000
 4.8049340E+000, 1.8930706E+001,-2.5511466E+000,-9.7760386E-002,-1.2282026E+000, 5.0170755E-004, 0.0000000E+000, 0.0000000E+000, 1.4557892E+001, 1.5054098E+001, 0.0000000E+000, 9.0548924E-004, 0.0000000E+000, 0.0000000E+000
 5.4028168E+000, 1.9041182E+001,-2.5921851E+000,-9.9749899E-002,-1.4184621E+000, 5.0179620E-004, 0.0000000E+000, 0.0000000E+000, 1.4700330E+001, 1.4931287E+001, 0.0000000E+000, 9.0565194E-004, 0.0000000E+000, 0.0000000E+000
 6.0020704E+000, 1.9032599E+001,-2.6120806E+000,-1.0057434E-001,-1.5704090E+000, 5.0519272E-004, 0.0000000E+000, 0.0000000E+000, 1.4480987E+001, 1.4750040E+001, 0.0000000E+000, 9.0570107E-004, 0.0000000E+000, 0.0000000E+000
 6.6062212E+000, 1.8974415E+001,-2.6233624E+000,-9.5879321E-002,-1.7594647E+000, 5.0424413E-004, 0.0000000E+000, 0.0000000E+000, 1.4099406E+001, 1.4496213E+001, 0.0000000E+000, 9.0571595E-004, 0.0000000E+000, 0.0000000E+000
