,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2021-08-22T13:21:45.042+02:00,   0.521E-01,   0.05213,   0.892E+01
      2,2021-08-22T13:21:45.362+02:00,   0.521E-01,   0.10426,   0.925E+01
      3,2021-08-22T13:21:45.813+02:00,   0.521E-01,   0.15639,   0.970E+01
      4,2021-08-22T13:21:46.169+02:00,   0.521E-01,   0.20851,   0.101E+02
      5,2021-08-22T13:21:46.534+02:00,   0.521E-01,   0.26064,   0.104E+02
      6,2021-08-22T13:21:47.103+02:00,   0.521E-01,   0.31277,   0.110E+02
      7,2021-08-22T13:21:47.489+02:00,   0.521E-01,   0.36490,   0.114E+02
      8,2021-08-22T13:21:47.879+02:00,   0.521E-01,   0.41703,   0.118E+02
      9,2021-08-22T13:21:48.366+02:00,   0.521E-01,   0.46916,   0.122E+02
     10,2021-08-22T13:21:48.781+02:00,   0.521E-01,   0.52129,   0.127E+02
     20,2021-08-22T13:21:53.695+02:00,   0.210E-01,   0.83314,   0.174E+02
     30,2021-08-22T13:21:58.503+02:00,   0.119E-01,   0.98253,   0.222E+02
     40,2021-08-22T13:22:02.860+02:00,   0.932E-02,   1.08250,   0.266E+02
     50,2021-08-22T13:22:06.894+02:00,   0.103E-01,   1.17851,   0.306E+02
     60,2021-08-22T13:22:11.882+02:00,   0.103E-01,   1.28105,   0.355E+02
     70,2021-08-22T13:22:16.038+02:00,   0.103E-01,   1.38359,   0.396E+02
     80,2021-08-22T13:22:20.742+02:00,   0.784E-02,   1.47511,   0.443E+02
     90,2021-08-22T13:22:25.266+02:00,   0.688E-02,   1.54679,   0.489E+02
    100,2021-08-22T13:22:29.549+02:00,   0.688E-02,   1.61560,   0.531E+02
    200,2021-08-22T13:23:12.626+02:00,   0.506E-02,   2.23170,   0.961E+02
    300,2021-08-22T13:23:54.775+02:00,   0.587E-02,   2.80586,   0.138E+03
    400,2021-08-22T13:24:36.614+02:00,   0.611E-02,   3.39209,   0.180E+03
    500,2021-08-22T13:25:18.974+02:00,   0.580E-02,   3.98580,   0.222E+03
    600,2021-08-22T13:26:02.202+02:00,   0.687E-02,   4.65357,   0.265E+03
    700,2021-08-22T13:26:45.364+02:00,   0.692E-02,   5.31980,   0.308E+03
    800,2021-08-22T13:27:25.547+02:00,   0.753E-02,   6.00960,   0.348E+03
    900,2021-08-22T13:28:05.229+02:00,   0.672E-02,   6.73000,   0.387E+03
   1000,2021-08-22T13:28:45.174+02:00,   0.671E-02,   7.41867,   0.427E+03
   1100,2021-08-22T13:29:24.310+02:00,   0.671E-02,   8.09011,   0.466E+03
   1200,2021-08-22T13:30:03.769+02:00,   0.642E-02,   8.73717,   0.505E+03
   1300,2021-08-22T13:30:43.227+02:00,   0.671E-02,   9.37058,   0.544E+03
   1400,2021-08-22T13:31:22.760+02:00,   0.580E-02,  10.01522,   0.584E+03
   1500,2021-08-22T13:32:01.828+02:00,   0.705E-02,  10.67669,   0.623E+03
   1600,2021-08-22T13:32:41.634+02:00,   0.763E-02,  11.34704,   0.662E+03
   1700,2021-08-22T13:33:21.782+02:00,   0.692E-02,  12.00063,   0.702E+03
   1800,2021-08-22T13:34:01.994+02:00,   0.651E-02,  12.62041,   0.742E+03
   1900,2021-08-22T13:34:41.731+02:00,   0.716E-02,  13.29128,   0.782E+03
   2000,2021-08-22T13:35:21.661+02:00,   0.633E-02,  13.95456,   0.822E+03
   2100,2021-08-22T13:36:01.677+02:00,   0.672E-02,  14.61590,   0.861E+03
   2200,2021-08-22T13:36:41.823+02:00,   0.645E-02,  15.25156,   0.901E+03
   2300,2021-08-22T13:37:21.854+02:00,   0.620E-02,  15.88019,   0.941E+03
   2400,2021-08-22T13:38:01.495+02:00,   0.714E-02,  16.54476,   0.981E+03
   2500,2021-08-22T13:38:41.457+02:00,   0.668E-02,  17.22382,   0.102E+04
   2600,2021-08-22T13:39:21.501+02:00,   0.721E-02,  17.91801,   0.106E+04
   2700,2021-08-22T13:40:01.918+02:00,   0.689E-02,  18.63421,   0.110E+04
   2800,2021-08-22T13:40:42.207+02:00,   0.584E-02,  19.28630,   0.114E+04
   2900,2021-08-22T13:41:21.266+02:00,   0.724E-02,  19.92140,   0.118E+04
   3000,2021-08-22T13:42:01.407+02:00,   0.570E-02,  20.55935,   0.122E+04
   3100,2021-08-22T13:42:41.184+02:00,   0.679E-02,  21.20396,   0.126E+04
   3200,2021-08-22T13:43:20.389+02:00,   0.723E-02,  21.86586,   0.130E+04
   3300,2021-08-22T13:43:59.965+02:00,   0.698E-02,  22.54436,   0.134E+04
   3400,2021-08-22T13:44:39.118+02:00,   0.737E-02,  23.22939,   0.138E+04
   3500,2021-08-22T13:45:18.077+02:00,   0.662E-02,  23.90802,   0.141E+04
   3600,2021-08-22T13:45:57.118+02:00,   0.662E-02,  24.57010,   0.145E+04
   3700,2021-08-22T13:46:36.125+02:00,   0.691E-02,  25.24781,   0.149E+04
   3800,2021-08-22T13:47:14.735+02:00,   0.662E-02,  25.91870,   0.153E+04
   3900,2021-08-22T13:47:56.009+02:00,   0.763E-02,  26.60596,   0.157E+04
   4000,2021-08-22T13:48:37.052+02:00,   0.664E-02,  27.30993,   0.161E+04
   4100,2021-08-22T13:49:18.633+02:00,   0.704E-02,  27.96916,   0.165E+04
   4200,2021-08-22T13:50:00.289+02:00,   0.676E-02,  28.59203,   0.170E+04
   4300,2021-08-22T13:50:41.129+02:00,   0.638E-02,  29.26123,   0.174E+04
   4400,2021-08-22T13:51:21.893+02:00,   0.729E-02,  29.94310,   0.178E+04
   4500,2021-08-22T13:52:03.607+02:00,   0.634E-02,  30.61673,   0.182E+04
   4600,2021-08-22T13:52:44.639+02:00,   0.704E-02,  31.24613,   0.186E+04
   4700,2021-08-22T13:53:25.059+02:00,   0.732E-02,  31.90981,   0.190E+04
   4800,2021-08-22T13:54:05.870+02:00,   0.693E-02,  32.57228,   0.194E+04
   4900,2021-08-22T13:54:46.701+02:00,   0.666E-02,  33.25248,   0.198E+04
   5000,2021-08-22T13:55:27.708+02:00,   0.706E-02,  33.94447,   0.202E+04
   5100,2021-08-22T13:56:08.858+02:00,   0.611E-02,  34.58745,   0.206E+04
   5200,2021-08-22T13:56:49.605+02:00,   0.714E-02,  35.25648,   0.210E+04
   5300,2021-08-22T13:57:30.286+02:00,   0.630E-02,  35.92096,   0.214E+04
   5400,2021-08-22T13:58:11.990+02:00,   0.692E-02,  36.60208,   0.218E+04
   5500,2021-08-22T13:58:52.283+02:00,   0.647E-02,  37.25929,   0.222E+04
   5600,2021-08-22T13:59:31.466+02:00,   0.698E-02,  37.93517,   0.226E+04
   5700,2021-08-22T14:00:10.545+02:00,   0.661E-02,  38.62843,   0.230E+04
   5800,2021-08-22T14:00:49.293+02:00,   0.642E-02,  39.26778,   0.234E+04
   5900,2021-08-22T14:01:28.476+02:00,   0.699E-02,  39.93556,   0.238E+04
