s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANOL,MLR_PRODUCTS,MLR_WATER VAPOR
 0.0000000E+000, 0.0000000E+000,-5.4812193E-002,-1.4000050E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4812194E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0001248E-001, 6.5163487E+000,-2.0789449E+000,-1.1521814E-002,-1.0809896E-001, 1.6858675E-004, 0.0000000E+000, 0.0000000E+000, 3.5514254E+000, 4.3179515E+000, 0.0000000E+000, 3.8881736E-004, 0.0000000E+000, 0.0000000E+000
 1.2061347E+000, 1.8320709E+001,-3.7546036E+000,-7.8050407E-002,-2.3593164E-001, 4.9129955E-004, 0.0000000E+000, 0.0000000E+000, 1.3892185E+001, 1.4252614E+001, 0.0000000E+000, 9.0387407E-004, 0.0000000E+000, 0.0000000E+000
 1.8037939E+000, 2.3660858E+001,-4.0752055E+000,-1.1760170E-001,-3.6085326E-001, 5.9882384E-004, 0.0000000E+000, 0.0000000E+000, 1.8718710E+001, 1.9107796E+001, 0.0000000E+000, 1.1453007E-003, 0.0000000E+000, 0.0000000E+000
 2.4015317E+000, 2.5855385E+001,-4.3712941E+000,-1.3835742E-001,-6.6995514E-001, 6.7505637E-004, 0.0000000E+000, 0.0000000E+000, 2.0442615E+001, 2.0676454E+001, 0.0000000E+000, 1.2306449E-003, 0.0000000E+000, 0.0000000E+000
 3.0025613E+000, 2.6260908E+001,-4.4718192E+000,-1.3887251E-001,-1.0726838E+000, 6.8240877E-004, 0.0000000E+000, 0.0000000E+000, 2.0408062E+001, 2.0578215E+001, 0.0000000E+000, 1.2579312E-003, 0.0000000E+000, 0.0000000E+000
 3.6012948E+000, 2.6537126E+001,-4.5760987E+000,-1.3752342E-001,-1.3672086E+000, 6.7472731E-004, 0.0000000E+000, 0.0000000E+000, 2.0069291E+001, 2.0456970E+001, 0.0000000E+000, 1.2662994E-003, 0.0000000E+000, 0.0000000E+000
 4.2023172E+000, 2.6609332E+001,-4.6033032E+000,-1.3824354E-001,-1.6226896E+000, 6.7015967E-004, 0.0000000E+000, 0.0000000E+000, 2.0063547E+001, 2.0245766E+001, 0.0000000E+000, 1.2688309E-003, 0.0000000E+000, 0.0000000E+000
 4.8035698E+000, 2.6523220E+001,-4.6136132E+000,-1.3536189E-001,-1.7931314E+000, 6.6739864E-004, 0.0000000E+000, 0.0000000E+000, 1.9695974E+001, 1.9981781E+001, 0.0000000E+000, 1.2695961E-003, 0.0000000E+000, 0.0000000E+000
 5.4047565E+000, 2.6658886E+001,-4.6893350E+000,-1.3331577E-001,-1.9521117E+000, 6.6235657E-004, 0.0000000E+000, 0.0000000E+000, 1.9581290E+001, 1.9884786E+001, 0.0000000E+000, 1.2698260E-003, 0.0000000E+000, 0.0000000E+000
 6.0026979E+000, 2.6702139E+001,-4.7457957E+000,-1.3221542E-001,-2.3675881E+000, 6.6353049E-004, 0.0000000E+000, 0.0000000E+000, 1.9141918E+001, 1.9457203E+001, 0.0000000E+000, 1.2698950E-003, 0.0000000E+000, 0.0000000E+000
 6.6015778E+000, 2.6645214E+001,-4.7448379E+000,-1.3080332E-001,-2.5394661E+000, 6.5931609E-004, 0.0000000E+000, 0.0000000E+000, 1.8774964E+001, 1.9230766E+001, 0.0000000E+000, 1.2699157E-003, 0.0000000E+000, 0.0000000E+000
